EngName,Colnames
Age,受访者年龄
EmploymentStatus,就业情况
CurrentJobTitleSelect,当前职称
MLToolNextYearSelect,明年将学习机器学习工具
MLMethodNextYearSelect,明年将学习机器学习方法
LanguageRecommendationSelect,首选推荐编程语言
JobSkillImportanceBigData,大数据在工作的重要度
JobSkillImportanceDegree,学位在工作的重要程度
JobSkillImportanceEnterpriseTools,企业工具在工作中的重要度
JobSkillImportancePython,python在工作中的重要度
JobSkillImportanceR,R在工作中的重要度
JobSkillImportanceSQL,SQL在工作中的重要度
JobSkillImportanceKaggleRanking,Kaggle排名在工作中的重要度
JobSkillImportanceVisualizations,可视化排名在工作中的重要度
DataScienceIdentitySelect,数据科学
FormalEducation,教育背景
Tenure,写代码从事数据分析年限
JobSatisfaction,工作满意度
